SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
542597,MSTC        ,B ,Q,134.10,135.10,124.15,129.95,129.50,134.85,1506,41083,5306126.00,
542602,EMBASSY     ,IF,Q,434.00,434.00,420.50,424.80,425.80,424.90,18,3800,1622142.00,
542627,CHANDNIMACH ,X ,Q,2.63,2.63,2.62,2.62,2.62,2.75,3,210,551.00,
542628,NSL         ,M ,Q,27.55,29.15,27.55,29.15,29.15,26.50,29,108000,3139200.00,
542641,CKFSL       ,B ,Q,0.53,0.53,0.53,0.53,0.53,0.55,7,13665,7242.00,
542649,RVNL        ,B ,Q,23.20,23.65,23.10,23.45,23.45,23.15,712,213936,5001859.00,
542650,METROPOLIS  ,B ,Q,1266.00,1300.00,1266.00,1295.85,1299.00,1285.00,462,2138,2753951.00,
542651,KPITTECH    ,B ,Q,91.00,91.00,84.00,86.60,87.50,88.60,260,11879,1022835.00,
542652,POLYCAB     ,B ,Q,974.80,1015.00,972.60,995.80,995.80,968.15,2103,23985,23938971.00,
542655,VIKASMCORP  ,B ,Q,3.16,3.16,3.16,3.16,3.16,3.32,1,10,31.00,
542665,NEOGEN      ,B ,Q,349.65,350.00,346.05,350.00,350.00,348.60,4,113,39493.00,
542667,WORL        ,M ,Q,66.00,66.00,66.00,66.00,66.00,64.00,1,2000,132000.00,
542669,BMW         ,X ,Q,16.20,16.20,16.00,16.20,16.20,16.00,10,170,2751.00,
542670,ARTEMISELC  ,M ,Q,147.00,147.50,143.00,143.70,143.00,152.80,5,7000,1020150.00,
542677,MAHESH      ,T ,Q,19.00,20.00,19.00,20.00,20.00,20.00,2,25,484.00,
542682,HARISH      ,B ,Q,38.05,38.05,38.05,38.05,38.05,40.05,2,63,2397.00,
542684,PPL         ,B ,Q,68.00,69.00,67.75,67.90,68.00,68.90,325,2784,189195.00,
542685,DGCONTENT   ,B ,Q,6.67,6.67,6.05,6.10,6.05,6.36,1884,329429,2017988.00,
542721,ARL         ,M ,Q,36.90,36.90,36.90,36.90,36.90,37.80,1,4000,147600.00,
542725,SBC         ,M ,Q,27.20,28.25,27.20,28.05,28.05,27.10,12,72000,2013000.00,
542726,INDIAMART   ,B ,Q,2008.00,2043.45,1979.80,2006.40,2028.00,2005.50,163,558,1120462.00,
542727,CPML        ,M ,Q,15.70,15.75,15.00,15.00,15.00,13.15,4,16000,248200.00,
542729,DCMNVL      ,B ,Q,26.65,26.65,26.65,26.65,26.65,26.50,1,25,666.00,
542730,ICICIBANKN  ,B ,Q,313.00,313.00,311.00,311.00,311.00,311.68,2,2,624.00,
542747,NETFSNX150  ,B ,Q,30.87,30.87,30.87,30.87,30.87,31.03,1,1,30.00,
542752,AFFLE       ,B ,Q,1351.35,1451.00,1351.05,1443.50,1443.50,1339.15,2714,20289,28818352.00,
542758,ICICIBANKP  ,B ,Q,174.02,174.02,174.02,174.02,174.02,172.77,1,10,1740.00,
542759,SPANDANA    ,B ,Q,1186.90,1198.80,1163.80,1176.50,1186.00,1165.85,120,1504,1775027.00,
542760,SWSOLAR     ,B ,Q,274.45,285.00,269.00,277.45,281.00,273.10,1709,17089,4727327.00,
542772,IIFLWAM     ,B ,Q,1128.50,1133.95,1098.35,1104.05,1109.00,1124.50,15,74,81975.00,
542773,IIFLSEC     ,B ,Q,30.75,33.40,30.75,31.15,31.70,32.35,241,89174,2785454.00,
542774,APMFINVEST  ,B ,Q,13.95,13.95,12.00,12.99,13.20,12.14,20,4968,64709.00,
542812,FLUOROCHEM  ,B ,Q,542.10,548.95,514.35,540.40,548.00,537.30,137,982,531321.00,
542823,RUSSP1C     ,F ,Q,31.39,31.39,31.39,31.39,31.39,34.59,3,33,1035.00,
542830,IRCTC       ,B ,Q,865.95,870.00,856.40,864.60,864.60,861.75,1647,32494,28088437.00,
542839,REHSPD      ,B ,Q,0.42,0.42,0.42,0.42,0.42,0.39,4,3652,1533.00,
542843,REHSPG      ,B ,Q,0.42,0.42,0.42,0.42,0.42,0.39,2,33,13.00,
542850,GOBLIN      ,M ,Q,109.50,110.20,109.25,109.60,110.20,109.00,8,38000,4163400.00,
542851,GENSOL      ,M ,Q,83.05,83.05,83.05,83.05,83.05,83.05,1,8000,664400.00,
542852,VISHWARAJ   ,B ,Q,78.40,78.40,69.80,71.05,71.05,80.10,560,15302,1122684.00,
542857,GREENPANEL  ,B ,Q,46.80,46.80,43.50,43.65,43.90,43.05,22,979,43056.00,
542862,SHAHLON     ,T ,Q,77.15,77.15,75.00,76.15,75.00,73.50,4,135,10331.00,
542863,ABSLBANETF  ,B ,Q,313.24,313.24,310.77,310.77,310.77,316.06,3,10,3127.00,
542865,ANUROOP     ,M ,Q,12.02,13.19,12.02,13.19,13.19,12.55,5,50000,629000.00,
542867,CSBBANK     ,B ,Q,257.70,258.35,238.20,240.75,240.75,259.35,4976,217907,53884373.00,
542872,ABCRSPDG    ,F ,Q,0.70,0.70,0.63,0.63,0.63,0.70,5,1309,910.00,
555555,ICICISENSX  ,B ,Q,429.04,429.04,429.04,429.04,429.04,428.41,1,950,407588.00,
570001,TATAMTRTDVR ,A ,Q,66.75,66.75,63.85,65.70,65.70,65.40,1565,497727,32454544.00,
570002,FELDVR      ,B ,Q,20.75,22.35,20.75,22.35,22.35,21.85,2,155,3456.00,
570004,JISLBNDVR   ,B ,Q,7.70,7.95,7.70,7.82,7.82,7.75,44,12696,98459.00,
